LFDNR,lat,lon
1629,51.957699473931406,7.620062032255961
1662,51.88470700878194,7.59953629637291
1692,51.91525630483253,7.688895864798331
1431,51.94820266483042,7.608149909002324
476,51.889423394422195,7.656418858566079
1558,51.95481379649227,7.626172984138452
1609,51.94963541874607,7.622985610193226
1615,51.90560241800218,7.6353904226097455
1627,51.97011961471973,7.627826523003995
1669,51.940369664214735,7.644417487454806
197,51.954864988715975,7.627480670727837
1510,51.96783075287689,7.647340567215781
1536,51.99857900586031,7.560122457676574
1539,51.936040459214674,7.603480100407084
1588,51.94982872957029,7.626456059532084
1590,51.97519324350471,7.5698410683498665
1687,51.907862404678895,7.633330257466158
1439,51.95223810008159,7.611938031166842
1586,51.98795516323134,7.697972985274571
1626,51.9818250279068,7.607967992761347
1628,51.9596814387388,7.632018435629104
1688,51.90847092472956,7.633079178035414
1430,51.947674687527204,7.619802157463452
1498,51.963559019518044,7.637400772506442
1508,51.99385132975934,7.652998557261756
401,51.96494284213723,7.566892241815785
1545,51.96699490772609,7.57892356934034
1608,51.95899158963951,7.626030911329038
1458,51.96848300991592,7.620889005159506
1500,51.96356554142373,7.636410786999644
1503,51.95769872521253,7.612953411316939
1504,51.95763374955437,7.612780771037512
1520,51.95255489661149,7.620539724239648
1534,51.91777615328499,7.728431548386085
1606,51.95030188390658,7.626179806924576
1607,51.956687219240074,7.626508585652443
1612,51.96317621669773,7.651793279487573
1708,51.95371895292433,7.6527463977423515
1707,51.96520318231281,7.6326346863401335
1716,51.94613231942898,7.526838723923846
1712,51.95015957427286,7.53107219627643
1722,51.903508561861955,7.640934056123984
1753,51.97124313490319,7.634751019321815
1740,51.95364574766633,7.63236056767663
1749,51.95611986659803,7.6340316726936015
1752,51.9532193879352,7.533446120668615
1726,51.96130906896309,7.675835831210688
1720,51.959375602047096,7.647337252762667
1735,51.969487801938506,7.613040698187522
1750,51.96262101486849,7.630952066408684
1728,51.956122545107974,7.6180811678102165
1747,51.90474217678972,7.653601858949169
1833,51.90417172579918,7.654040474565538
1846,51.94709914652627,7.62381495712416
1914,51.939643504875626,7.612957577092804
1861,51.95510655809331,7.647509401779056
1873,51.92279393183833,7.698855940804167
1890,51.92360959629116,7.5262528770786865
1891,51.998780062952235,7.612834701478579
1894,51.944664189949826,7.618593435188633
1899,51.94000660684552,7.629371176897653
1915,51.93962758423733,7.613132643986679
1918,51.96270195450845,7.6270924103334785
1893,51.90258399536972,7.64418894687701
1908,51.95720770291055,7.637898983771149
1926,51.96749540698125,7.579417233630066
1913,51.99821930368347,7.603427197210238
1862,51.931057974829706,7.577673771151489
1864,51.975214341195084,7.568617391890724
1867,51.956071550751794,7.638399123660491
1910,51.98086291398172,7.6354195899857995
1917,51.9628454300836,7.627058915277728
1920,51.96217027961228,7.626992213948876
1848,51.99462157003277,7.6033352361873
1872,51.92316323706922,7.528667057681549
1877,51.96043479158765,7.630844020474116
1897,51.93001417819304,7.673877366927779
1921,51.96214499380885,7.625595681975692
1931,52.02592573653301,7.674540203304988
1929,51.96074160898032,7.60565484352693
1936,51.96513021934885,7.574178974595625
1939,51.964787483154076,7.633229582365171
1946,51.959372340622615,7.63381637119717
